,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_tot_points,B_tot_points,A_tot_goal,B_tot_goal,A_tot_con,B_tot_con
20,Everton,Aston Villa,0,2,1.37255,0.579733,1.4288230000000002,1.33531,2.0,0.0,0.5,1.0,0.0,2.5
21,Chelsea,Norwich,3,2,2.100035,1.1232199999999999,1.062765,2.050425,0.5,1.5,0.5,2.0,2.5,2.5
22,Southampton,Brighton,2,0,1.423783,0.929373,1.4506355,2.193065,0.0,2.0,0.5,2.0,2.5,0.5
23,Crystal Palace,Man Utd,2,1,1.0454665,2.069585,1.269575,0.7233045,0.5,2.0,0.0,2.5,0.5,0.5
24,West Ham,Watford,3,1,2.8321250000000004,1.7001399999999998,1.7304399999999998,2.249495,0.5,0.0,0.5,0.0,3.0,2.0
25,Leicester,Sheffield United,2,1,1.4712695,0.8504039999999999,0.604522,1.5053345,1.0,2.0,0.5,1.0,0.5,0.5
26,Arsenal,Liverpool,1,3,1.455316,1.99439,2.3716749999999998,0.801466,3.0,3.0,1.5,3.0,0.5,1.0
27,Man City,Bournemouth,3,1,2.71837,1.224088,1.3772425,2.68311,2.0,2.0,3.5,1.5,1.0,1.0
28,Burnley,Wolves,1,1,0.9225050000000001,1.664825,1.26425,1.3580200000000002,1.5,1.0,2.0,0.5,1.0,0.5
29,Newcastle United,Tottenham,1,0,0.777795,1.607205,1.183035,1.2196850000000001,0.0,2.0,0.5,2.5,2.0,1.5
30,Man Utd,Southampton,1,1,1.58789875,1.48754975,0.616455375,1.6330663749999998,1.3333333333333333,1.0,2.0,1.0,1.0,1.6666666666666667
31,Watford,Newcastle United,1,1,1.495937,0.802062,2.7318637499999996,1.6096412500000001,0.0,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333
32,Bournemouth,Leicester,1,3,1.122991,1.363897625,2.1518474999999997,0.899197,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666
33,Brighton,Man City,0,4,1.1729444999999998,3.5003499999999996,1.48524225,1.081073875,1.3333333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,1.0,1.0
34,Sheffield United,Chelsea,2,2,1.07131125,2.17675625,1.662031125,1.15821875,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,2.3333333333333335
35,Norwich,West Ham,0,2,1.208337,1.5219335000000003,2.2486187500000003,1.39528,1.0,1.3333333333333333,2.0,1.3333333333333333,2.6666666666666665,2.3333333333333335
36,Aston Villa,Crystal Palace,0,1,1.00093825,1.005376625,1.45415475,1.09456875,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666
37,Liverpool,Burnley,3,0,1.78945,1.06866725,0.73578475,1.2379245,3.0,1.3333333333333333,3.0,1.6666666666666667,1.0,1.0
38,Wolves,Everton,2,3,1.7289637500000001,1.4069475,1.72480175,1.3384935000000002,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
39,Tottenham,Arsenal,2,2,1.48728375,1.729664,1.2524045,2.21859125,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333
40,Newcastle United,Liverpool,1,3,0.6122383333333333,2.2443566666666666,1.6224983750000002,0.7216607416666667,1.0,3.0,0.75,3.0,1.25,0.75
41,Crystal Palace,Tottenham,0,4,1.2476855208333335,1.191643791666667,1.1862004583333334,1.34994375,1.75,1.25,0.75,1.75,0.5,1.5
42,Leicester,Man Utd,0,1,1.0840698041666665,1.3564396250000001,1.2906771666666665,0.7778244791666666,2.0,1.25,1.5,1.75,0.75,1.0
43,Chelsea,Wolves,5,2,2.499071875,1.499163125,1.1052177916666666,1.636763125,1.25,0.75,1.5,1.0,2.25,1.25
44,Burnley,Brighton,1,1,1.1590080416666668,1.3700200833333334,1.2017580833333334,1.6434942083333333,1.0,1.0,1.25,1.0,1.5,1.75
45,Southampton,Sheffield United,1,0,1.5168554583333331,0.9723350416666667,1.6006436458333333,1.5697226041666665,1.0,1.25,1.0,1.25,1.5,1.25
46,Man City,Norwich,2,3,3.320101666666667,1.239132333333333,1.3485207291666665,2.419960625,2.5,0.75,3.5,1.5,0.75,2.5
47,Everton,Bournemouth,1,3,1.5353479166666668,1.343961,1.3929765833333334,1.8430212499999998,1.75,1.0,1.0,1.25,1.0,2.0
48,Arsenal,Watford,2,2,1.6113849999999998,1.4803691666666667,1.8258805416666666,2.3558937916666665,1.75,0.25,1.5,0.5,1.5,2.0
49,West Ham,Aston Villa,0,0,1.322387916666667,1.548947875,1.6994616666666669,1.562400625,1.75,0.75,1.5,1.0,1.75,1.5
50,Bournemouth,Southampton,3,1,1.195923375,1.3594602760416667,1.5590643437499998,1.8240150651041667,1.4,1.4,1.6,1.0,1.8,1.2
51,Tottenham,Leicester,1,2,1.1918891927083335,1.5423634536458333,1.48845553125,1.2734467708333335,1.6,1.6,2.2,1.2,1.2,0.8
52,Norwich,Burnley,0,2,1.0284874166666667,1.4752540364583335,2.472904796875,1.0680346979166666,1.2,1.0,1.8,1.2,2.4,1.4
53,Sheffield United,Everton,2,0,0.8729296614583333,1.5651869270833334,1.5875141536458333,1.2434147604166665,1.0,1.4,1.0,1.0,1.2,1.4
54,Watford,Man City,0,8,1.1315310208333333,3.513428958333333,2.1595299427083328,1.1619192630208333,0.4,2.0,0.8,3.2,2.0,1.2
55,Brighton,Newcastle United,0,0,1.2974150729166667,0.5993476666666666,1.8971194322916665,1.5822385781250001,1.0,0.8,1.0,0.8,1.6,1.6
56,Wolves,Crystal Palace,1,1,1.477574609375,1.3190324557291668,1.296175734375,1.6018929010416667,0.6,1.4,1.2,0.6,2.0,1.2
57,Man Utd,West Ham,0,2,1.712383671875,1.4399323020833334,0.8637687942708333,1.7357702083333333,1.6,1.6,1.6,1.2,0.8,1.4
58,Aston Villa,Arsenal,2,3,1.673085015625,1.59542625,1.864175671875,1.5779644739583332,0.8,1.6,0.8,1.6,1.2,1.6
59,Liverpool,Chelsea,2,1,1.999789583333333,2.214314265625,0.8629805239583335,1.0843695677083334,3.0,1.6,3.0,2.2,0.8,2.2
60,Liverpool,Sheffield United,1,0,2.068821625,1.0855718953125,0.8756269715625,1.5254230382812501,3.0,1.3333333333333333,2.8333333333333335,1.1666666666666667,0.8333333333333334,1.0
61,West Ham,Bournemouth,2,2,1.4455881718750003,1.3255500375000002,1.8691391875000003,1.4823098093749998,1.8333333333333333,1.6666666666666667,1.3333333333333333,1.8333333333333333,1.1666666666666667,1.6666666666666667
62,Southampton,Tottenham,1,2,1.1691102484375,1.1143445734375002,2.0568555585937496,1.418734278125,1.1666666666666667,1.3333333333333333,1.0,2.0,1.5,1.3333333333333333
63,Burnley,Aston Villa,2,2,1.4016579328125,1.4557145140625,1.186908528125,1.8732641046875003,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.1666666666666667,1.5
64,Norwich,Crystal Palace,0,2,0.9531080749999999,1.1808913101562502,2.3878153171875,1.6931513109375,1.0,1.3333333333333333,1.5,0.6666666666666666,2.3333333333333335,1.1666666666666667
65,Brighton,Chelsea,0,2,1.4249975656249998,2.4167778390625,2.0084076890624996,1.0683184109375,1.0,1.3333333333333333,0.8333333333333334,2.0,1.3333333333333333,2.1666666666666665
66,Watford,Wolves,0,2,1.26736311875,1.5151661484374999,1.5609449484374998,1.2179549609375,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.1666666666666667,3.0,1.8333333333333333
67,Man City,Everton,3,1,2.9832730625,1.6070422343750002,1.23383443671875,1.166839584375,2.1666666666666665,1.1666666666666667,4.0,0.8333333333333334,1.0,1.5
68,Newcastle United,Leicester,0,5,0.8558579000000002,1.49454680828125,1.6481497203125,1.1527919937500002,0.8333333333333334,1.8333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.8333333333333334
69,Arsenal,Man Utd,1,1,1.381360525,1.8427312046875,1.5367070265625,1.02629791484375,1.8333333333333333,1.3333333333333333,1.8333333333333333,1.3333333333333333,1.6666666666666667,1.0
70,Tottenham,Brighton,0,3,1.3505341923177085,1.3925847684895833,1.3445380049479168,1.892128714973958,1.5714285714285714,0.8571428571428571,2.0,0.7142857142857143,1.2857142857142858,1.4285714285714286
71,Sheffield United,Watford,0,0,1.1503567373697916,1.1901027755208333,1.4511444517578125,1.7197228694010416,1.1428571428571428,0.2857142857142857,1.0,0.5714285714285714,1.0,2.857142857142857
72,Leicester,Liverpool,1,2,1.6973570742578123,1.98312315625,1.2217619942708335,0.8626948072656251,2.0,3.0,1.8571428571428572,2.5714285714285716,0.7142857142857143,0.7142857142857143
73,Aston Villa,Norwich,5,1,1.5911753045572918,1.0325954854166666,1.7902162626302083,2.2696051240885415,0.7142857142857143,0.8571428571428571,1.1428571428571428,1.2857142857142858,1.5714285714285714,2.2857142857142856
74,Everton,Burnley,0,1,1.44845646484375,1.5218964384114582,1.14825045234375,1.1650703174479167,1.0,1.2857142857142858,0.8571428571428571,1.4285714285714286,1.7142857142857142,1.2857142857142858
75,Crystal Palace,West Ham,2,1,1.095385534309896,1.3656499075520836,1.783862118359375,1.9316350885416667,1.5714285714285714,1.7142857142857142,0.8571428571428571,1.4285714285714286,1.0,1.2857142857142858
76,Wolves,Man City,2,0,1.5044931360677083,2.782304473958333,1.2211752975260417,1.0201970669921874,1.0,2.2857142857142856,1.2857142857142858,3.857142857142857,1.5714285714285714,1.0
77,Chelsea,Southampton,4,1,2.156037519140625,1.3556560610677084,1.1242949600260417,1.9622971787109371,1.5714285714285714,1.0,2.0,1.0,1.8571428571428572,1.5714285714285714
78,Bournemouth,Arsenal,0,1,1.1783966177083334,1.4217313145833335,1.6015281585937502,1.5986661076822917,1.5714285714285714,1.7142857142857142,1.8571428571428572,1.7142857142857142,1.7142857142857142,1.5714285714285714
79,Man Utd,Newcastle United,0,1,1.8596027709635417,0.8555329083333334,1.0368789219401042,1.7873047436197917,1.2857142857142858,0.7142857142857143,1.2857142857142858,0.5714285714285714,1.0,1.8571428571428572
80,West Ham,Everton,0,2,1.2529644855840774,1.5232967173549108,1.9040882965029762,1.288546705747768,1.5,0.875,1.375,0.75,1.375,1.625
81,Burnley,Leicester,1,2,1.4856242642392115,2.0205458046679685,1.3425781519159226,0.9696699232514882,1.5,1.75,1.375,1.75,1.125,0.875
82,Norwich,Bournemouth,0,0,0.9327009507440476,1.0808997164434524,2.0387011152250745,1.6433570758370535,0.75,1.375,1.25,1.625,2.625,1.625
83,Brighton,Aston Villa,1,2,1.28496521359747,1.3649484970889136,1.9254733067615324,1.9596208152994792,1.125,1.0,1.0,1.625,1.25,1.5
84,Newcastle United,Chelsea,0,1,0.8649926291666667,2.079372696344866,1.8035755476469493,1.1603696057384671,1.0,1.75,0.625,2.25,1.625,1.75
85,Southampton,Wolves,1,1,1.4462827709914434,1.5760436263485864,1.811356451660156,1.1221454905598958,0.875,1.25,1.0,1.375,1.875,1.375
86,Watford,Tottenham,1,1,1.1285149344122023,1.4298282500093007,1.75005495015811,1.2458645760230656,0.375,1.375,0.5,1.75,2.5,1.5
87,Man City,Crystal Palace,2,0,2.7987691543898805,0.9118800675734748,1.0139078479213168,1.7048968956194197,2.0,1.75,3.375,1.0,1.125,1.0
88,Liverpool,Man Utd,1,1,1.9635972165178572,1.8797365730375741,0.9311399853180804,1.1030374989443825,3.0,1.125,2.5,1.125,0.75,1.0
89,Arsenal,Sheffield United,0,1,1.4284717206845237,1.1718258989862351,1.5824999571335565,1.3243769909179688,1.875,1.125,1.625,0.875,1.375,0.875
90,Leicester,Southampton,9,0,1.9723235668762205,1.4848509728044783,1.0940518030482702,1.7566966109313964,1.8888888888888888,0.8888888888888888,1.7777777777777777,1.0,0.8888888888888888,1.7777777777777777
91,Aston Villa,Man City,0,3,1.2125588410208565,2.702963582240513,2.0371820143432617,0.9929527324262346,1.2222222222222223,2.111111111111111,1.6666666666666667,3.2222222222222223,1.4444444444444444,1.0
92,Everton,Brighton,2,3,1.3362182975202288,1.3040349502476283,1.3271360366385325,1.7537105375889368,1.1111111111111112,1.0,0.8888888888888888,1.0,1.4444444444444444,1.3333333333333333
93,Sheffield United,West Ham,1,1,1.2643122802995954,1.2512937052350726,1.2698044289855956,1.8598411529715402,1.3333333333333333,1.3333333333333333,0.8888888888888888,1.2222222222222223,0.7777777777777778,1.4444444444444444
94,Bournemouth,Watford,0,0,1.0552652341657367,1.1678401885114398,1.650811946097238,1.7785529532732283,1.3333333333333333,0.4444444444444444,1.4444444444444444,0.5555555555555556,1.4444444444444444,2.3333333333333335
95,Chelsea,Burnley,4,2,2.025302527823312,1.3793132477242607,1.168306192879813,1.2834602674211775,1.8888888888888888,1.3333333333333333,2.111111111111111,1.3333333333333333,1.5555555555555556,1.2222222222222223
96,Wolves,Newcastle United,1,1,1.5702542747017998,0.9112147148437502,1.1068623348999025,1.698396325919015,1.2222222222222223,0.8888888888888888,1.3333333333333333,0.5555555555555556,1.3333333333333333,1.5555555555555556
97,Man Utd,Norwich,3,1,1.9011472872227257,1.0010675788225445,1.0864444677603586,2.038838295523507,1.1111111111111112,0.7777777777777778,1.1111111111111112,1.1111111111111112,1.0,2.3333333333333335
98,Tottenham,Liverpool,1,2,1.3638549218837195,2.109894265485491,1.253345415021624,0.8942432362357003,1.3333333333333333,2.7777777777777777,1.6666666666666667,2.3333333333333335,1.4444444444444444,0.7777777777777778
99,Crystal Palace,Arsenal,2,2,0.9082227508501326,1.352548050641741,1.5468957146432059,1.5639893973127093,1.5555555555555556,1.6666666666666667,0.8888888888888888,1.4444444444444444,1.1111111111111112,1.3333333333333333
100,Man Utd,Bournemouth,0,1,1.7727213268214634,1.0608521656009735,1.0563332195514499,1.6595722268696136,1.3,1.3,1.3,1.3,1.0,1.3
101,Newcastle United,West Ham,3,2,0.9761020084635417,1.2254261660553465,1.7645737522568474,1.8510138111397878,0.9,1.3,0.6,1.2,1.5,1.4
102,Burnley,Sheffield United,0,3,1.2314055117395797,1.3116593758385067,1.3561740858977789,1.162814238486396,1.2,1.3,1.4,0.9,1.5,0.8
103,Norwich,Brighton,0,2,0.9913250466657366,1.2869241196783157,1.8124452791055348,1.6829458410562181,0.7,1.2,1.1,1.2,2.4,1.4
104,Southampton,Man City,1,2,1.5136568632042293,2.52039227211604,1.4711773547685412,1.0848645250692217,0.8,2.2,0.9,3.2,2.5,0.9
105,Wolves,Arsenal,1,1,1.5288659261072552,1.3146128256060887,1.1791797607387966,1.5477883196842255,1.2,1.6,1.3,1.5,1.3,1.4
106,Liverpool,Aston Villa,2,1,2.0509206951807415,1.1610303498530312,0.8511282786670502,2.008069124657525,2.8,1.1,2.3,1.5,0.8,1.6
107,Chelsea,Watford,2,1,1.9888030540553503,1.2793406224830264,1.077377793275379,1.7773156225358266,2.0,0.5,2.3,0.5,1.6,2.1
108,Leicester,Crystal Palace,2,0,1.7718624798275415,0.8855918758029031,1.2607433695455885,1.5018219527185832,2.0,1.5,2.5,1.0,0.8,1.2
109,Tottenham,Everton,1,1,1.3712468706679575,1.442747280991327,1.1375824475204228,1.3114380346030585,1.2,1.0,1.6,1.0,1.5,1.6
110,Watford,Norwich,2,0,1.3100935913588754,1.0160310443324496,1.6569416914090351,1.8107510151502582,0.45454545454545453,0.6363636363636364,0.5454545454545454,1.0,2.090909090909091,2.3636363636363638
111,Crystal Palace,Chelsea,0,2,0.9000078820127579,2.002771401352583,1.532861505082654,1.0641482536116098,1.3636363636363635,2.090909090909091,0.9090909090909091,2.272727272727273,1.2727272727272727,1.5454545454545454
112,Everton,Southampton,2,1,1.4565575169417606,1.5891760700440178,1.4002369828729058,1.3224581870301138,1.0,0.7272727272727273,1.0,0.9090909090909091,1.5454545454545454,2.4545454545454546
113,West Ham,Burnley,0,3,1.2168128577525792,1.2870839361526003,1.8609876205827987,1.39039788160289,1.1818181818181819,1.0909090909090908,1.2727272727272727,1.2727272727272727,1.5454545454545454,1.6363636363636365
114,Bournemouth,Newcastle United,1,2,0.9664363573209247,0.8789315580403645,1.775863165526133,1.8237700646440054,1.4545454545454546,1.0909090909090908,1.2727272727272727,0.8181818181818182,1.1818181818181819,1.5454545454545454
115,Sheffield United,Tottenham,1,1,1.2499947570465815,1.3997068771345593,1.266406376562076,1.1858153251444017,1.4545454545454546,1.1818181818181819,1.0909090909090908,1.5454545454545454,0.7272727272727273,1.4545454545454546
116,Arsenal,Leicester,0,2,1.3649416843257842,1.7950377058361644,1.446555153700014,1.3348671010683093,1.5454545454545454,2.090909090909091,1.4545454545454546,2.4545454545454546,1.3636363636363635,0.7272727272727273
117,Brighton,Man Utd,1,3,1.2449809136944,1.8445349604803902,1.7560594490034074,1.0192584085738772,1.3636363636363635,1.1818181818181819,1.2727272727272727,1.1818181818181819,1.2727272727272727,1.0
118,Aston Villa,Wolves,1,2,1.2095925823603797,1.5409361298018927,2.093028168424649,1.1316960227018569,1.0,1.1818181818181819,1.4545454545454546,1.2727272727272727,1.6363636363636365,1.2727272727272727
119,Man City,Liverpool,1,3,2.503750658510238,2.0607996604217047,1.0846564488157604,0.8959424647336977,2.272727272727273,2.8181818181818183,3.090909090909091,2.272727272727273,0.9090909090909091,0.8181818181818182
120,Tottenham,West Ham,3,2,1.4487833827193521,1.2327122733092801,1.2634154012742016,1.9171463651017624,1.1666666666666667,1.0833333333333333,1.5,1.1666666666666667,1.4166666666666667,1.6666666666666667
121,Liverpool,Crystal Palace,2,1,2.1159410394934457,0.894635569193996,0.892299670882166,1.4774909821243516,2.8333333333333335,1.25,2.3333333333333335,0.8333333333333334,0.8333333333333334,1.3333333333333333
122,Burnley,Watford,3,0,1.2199593936002096,1.379752064478926,1.476101114257304,1.6822316145268064,1.25,0.6666666666666666,1.4166666666666667,0.6666666666666666,1.5,1.9166666666666667
123,Norwich,Everton,2,0,1.0863996332264292,1.47755217526259,1.7930326962797918,1.4053630291059556,0.5833333333333334,1.1666666666666667,0.9166666666666666,1.0833333333333333,2.3333333333333335,1.5
124,Leicester,Brighton,2,0,1.8896550828436118,1.2855885994355636,1.351921369201568,1.643993564957798,2.1666666666666665,1.25,2.4166666666666665,1.25,0.6666666666666666,1.4166666666666667
125,Southampton,Arsenal,2,2,1.5703632032238355,1.3408787895837033,1.2970264058014724,1.5262576467136497,0.6666666666666666,1.4166666666666667,0.9166666666666666,1.3333333333333333,2.4166666666666665,1.4166666666666667
126,Wolves,Bournemouth,2,1,1.5587440329927156,0.9479687047154282,1.1668002489426814,1.758875294365854,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.25,1.25,1.25
127,Chelsea,Man City,1,2,2.00952951947292,2.5656301740325,1.0603950148110823,1.0367065647786804,2.1666666666666665,2.0833333333333335,2.25,2.9166666666666665,1.4166666666666667,1.0833333333333333
128,Man Utd,Sheffield United,3,3,1.7234883713676454,1.240264995362646,1.045184571820519,1.3266342685365273,1.3333333333333333,1.4166666666666667,1.3333333333333333,1.0833333333333333,1.0,0.75
129,Newcastle United,Aston Villa,0,2,0.7995855326748935,1.2280026922530898,1.8402168798874592,2.0439077971326194,1.25,0.9166666666666666,0.9166666666666666,1.4166666666666667,1.5,1.6666666666666667
130,Man City,Newcastle United,2,2,2.631778916781146,0.8248558438134397,0.9805691329129023,1.8770378432254817,2.1538461538461537,1.1538461538461537,2.8461538461538463,0.8461538461538461,1.0769230769230769,1.5384615384615385
131,Brighton,Liverpool,1,2,1.315734657792415,2.200689329514552,1.495436249751223,0.8583177262620758,1.1538461538461537,2.8461538461538463,1.1538461538461537,2.3076923076923075,1.4615384615384615,0.8461538461538461
132,Crystal Palace,Burnley,2,0,0.8912060038109129,1.1889406272002008,1.4996319828691704,1.4675923594965832,1.1538461538461537,1.3846153846153846,0.8461538461538461,1.5384615384615385,1.3846153846153846,1.3846153846153846
133,West Ham,Chelsea,1,0,1.2120109369213936,1.9644126644948816,1.9190465165558557,1.0622708058606203,1.0,2.0,1.2307692307692308,2.1538461538461537,1.7692307692307692,1.4615384615384615
134,Bournemouth,Tottenham,2,3,1.0311533836856186,1.474822533439379,1.77632715710061,1.3900677178877765,1.2307692307692308,1.3076923076923077,1.2307692307692308,1.6153846153846154,1.3076923076923077,1.4615384615384615
135,Watford,Southampton,1,2,1.334633728458971,1.4552315280895087,1.645512797254856,1.3681490138930776,0.6153846153846154,0.6923076923076923,0.6153846153846154,1.0,2.0,2.3846153846153846
136,Arsenal,Norwich,2,2,1.4056167566843825,1.0817519401753282,1.4963769114339143,1.8099025839348004,1.3846153846153846,0.7692307692307693,1.3846153846153846,1.0,1.4615384615384615,2.1538461538461537
137,Sheffield United,Wolves,1,1,1.2446362455558688,1.5525680316180188,1.3009929656808388,1.1541692802367365,1.3846153846153846,1.4615384615384615,1.2307692307692308,1.3846153846153846,0.9230769230769231,1.2307692307692308
138,Aston Villa,Man Utd,2,2,1.1945100800758777,1.67406152256066,2.203943305585427,1.0400545479946643,1.0769230769230769,1.3076923076923077,1.4615384615384615,1.4615384615384615,1.5384615384615385,1.1538461538461537
139,Everton,Leicester,1,2,1.6109923762933152,1.7558259543917947,1.3458096112265405,1.3442246038181693,1.0769230769230769,2.230769230769231,1.0,2.3846153846153846,1.5384615384615385,0.6153846153846154
140,Bournemouth,Crystal Palace,0,1,1.080441330466941,0.9719433882797239,1.7907057279813556,1.4458274835280485,1.1428571428571428,1.2857142857142858,1.2857142857142858,0.9285714285714286,1.4285714285714286,1.2857142857142858
141,Man City,Burnley,4,1,2.628458892612258,1.21498375692327,1.0004329971190957,1.485668730285176,2.0714285714285716,1.2857142857142858,2.7857142857142856,1.4285714285714286,1.1428571428571428,1.4285714285714286
142,Tottenham,Man Utd,1,2,1.3782823975378644,1.6782041563083272,1.4664093441228618,1.0543038346102542,1.4285714285714286,1.2857142857142858,1.7142857142857142,1.5,1.5,1.2142857142857142
143,Watford,Leicester,0,2,1.3796270850567027,1.6846633792228793,1.6108058050527463,1.3605754267482397,0.5714285714285714,2.2857142857142856,0.6428571428571429,2.357142857142857,2.0,0.6428571428571429
144,Aston Villa,Chelsea,1,2,1.1619176568942975,1.928581023552771,2.2553849812256574,1.0495099671736734,1.0714285714285714,1.8571428571428572,1.5,2.0,1.5714285714285714,1.4285714285714286
145,Norwich,Southampton,1,2,1.0455986347839694,1.4735200462399125,1.8446974845526927,1.4214957825894978,0.7857142857142857,0.8571428571428571,1.0714285714285714,1.0714285714285714,2.142857142857143,2.2857142857142856
146,West Ham,Wolves,0,2,1.254038054732109,1.6697238765557874,1.8690375351498614,1.1297195386891699,1.1428571428571428,1.4285714285714286,1.2142857142857142,1.3571428571428572,1.6428571428571428,1.2142857142857142
147,Everton,Liverpool,2,5,1.6959403618204956,2.166809009148608,1.302424626179366,0.9208495444827651,1.0,2.857142857142857,1.0,2.2857142857142856,1.5714285714285714,0.8571428571428571
148,Newcastle United,Sheffield United,2,0,0.8344141959744611,1.2460602102515732,1.8021226184860404,1.2936384045060376,1.1428571428571428,1.3571428571428572,0.9285714285714286,1.2142857142857142,1.5714285714285714,0.9285714285714286
149,Brighton,Arsenal,2,1,1.3412782863388604,1.3795101079872096,1.5326490862992532,1.5700036475021504,1.0714285714285714,1.3571428571428572,1.1428571428571428,1.4285714285714286,1.5,1.5
150,Chelsea,Everton,1,3,1.9259507795673483,1.649555161632036,1.0395336270071933,1.2821369049538625,1.9333333333333333,0.9333333333333333,2.0,1.0666666666666667,1.4,1.8
151,Crystal Palace,Watford,0,0,0.9880140535109894,1.3989055320674826,1.4565056799385516,1.556620424244279,1.4,0.5333333333333333,0.9333333333333333,0.6,1.2,2.0
152,Liverpool,Bournemouth,3,0,2.145094597172216,1.118135265434495,0.9051653524556007,1.8448465526865476,2.8666666666666667,1.0666666666666667,2.466666666666667,1.2,0.9333333333333333,1.4
153,Burnley,Tottenham,0,5,1.3066610352311152,1.3978056251688953,1.4310470365209507,1.5367164297645737,1.2,1.3333333333333333,1.4,1.6666666666666667,1.6,1.5333333333333334
154,Man Utd,Man City,2,1,1.6819380990177835,2.5555409781757508,1.0649565365344573,1.0445019830174824,1.4,2.1333333333333333,1.5333333333333334,2.8666666666666667,1.2,1.1333333333333333
155,Leicester,Aston Villa,4,1,1.6956672516901168,1.155540421910744,1.374097405196058,2.2746639773330064,2.3333333333333335,1.0,2.3333333333333335,1.4666666666666666,0.6,1.6
156,Sheffield United,Norwich,2,1,1.2435508930155947,1.1032151268990482,1.366878439171394,1.8094663096749786,1.2666666666666666,0.7333333333333333,1.1333333333333333,1.0666666666666667,1.0,2.1333333333333333
157,Southampton,Newcastle United,1,2,1.41478171091868,0.9280787623042127,1.5045405593559642,1.7760382442146523,1.0,1.2666666666666666,1.1333333333333333,1.0,2.2,1.4666666666666666
158,Wolves,Brighton,2,2,1.634314459891005,1.2919849671047376,1.1266450802373105,1.530152014170187,1.5333333333333334,1.2,1.4,1.2,1.1333333333333333,1.4666666666666666
159,Arsenal,West Ham,3,1,1.3997814216504483,1.2993901540252895,1.5727195189916467,1.8568654765485975,1.2666666666666666,1.0666666666666667,1.4,1.1333333333333333,1.5333333333333334,1.6666666666666667
160,Watford,Liverpool,0,2,1.39227420637777,2.1105036201403786,1.608384825176751,0.9340329429346623,0.5625,2.875,0.5625,2.5,1.875,0.875
161,Aston Villa,Sheffield United,0,2,1.1519625228236914,1.2656613885579113,2.201405809721882,1.3994231658035354,0.9375,1.375,1.4375,1.1875,1.75,1.0
